iter	Passed	Remaining
456	826	981
457	828	979
458	829	978
459	831	976
460	833	974
461	835	972
462	836	970
463	838	969
464	840	967
465	842	965
466	846	966
467	847	963
468	849	961
469	850	959
470	852	956
471	853	954
472	854	952
473	856	950
474	857	947
475	858	945
476	860	942
477	861	940
478	862	938
479	863	935
480	865	933
481	866	931
482	868	929
483	869	927
484	871	925
485	872	923
486	874	920
487	875	918
488	876	916
489	878	914
490	879	912
491	882	910
492	884	909
493	885	907
494	887	905
495	889	903
496	890	901
497	891	898
498	893	896
499	894	894
500	895	892
501	897	890
502	899	888
503	900	886
504	902	884
505	903	882
506	905	880
507	906	877
508	907	875
509	909	873
510	910	871
511	912	869
512	914	867
513	915	865
514	917	863
515	918	861
516	919	859
517	921	857
518	922	855
519	924	853
520	925	850
521	927	848
522	928	847
523	930	845
524	931	843
525	933	840
526	934	838
527	936	837
528	937	835
529	939	832
530	940	830
531	942	828
532	944	827
533	945	825
534	946	823
535	948	821
536	949	819
537	951	816
538	952	814
539	954	812
540	955	810
541	957	808
542	958	807
543	960	805
544	962	803
545	963	801
546	965	799
547	966	797
548	968	795
549	969	793
550	971	791
551	972	789
552	974	787
553	975	785
554	977	783
555	978	781
556	980	779
557	981	777
558	983	775
559	984	773
560	985	771
561	987	769
562	989	767
563	990	765
564	992	763
565	993	761
566	995	759
567	996	757
568	997	755
569	999	753
570	1000	751
571	1002	749
572	1003	747
573	1005	746
574	1006	744
575	1008	742
576	1009	740
577	1011	738
578	1012	736
579	1014	734
580	1015	732
581	1017	730
582	1018	728
583	1020	726
584	1022	725
585	1023	723
586	1025	721
587	1026	719
588	1028	717
589	1029	715
590	1031	713
591	1032	711
592	1034	710
593	1036	708
594	1037	706
595	1039	704
596	1041	702
597	1043	701
598	1044	699
599	1046	697
600	1049	696
601	1051	695
602	1053	693
603	1055	692
604	1059	691
605	1061	690
606	1063	688
607	1065	687
608	1068	685
609	1070	684
610	1072	682
611	1073	680
612	1075	679
613	1077	677
614	1079	675
615	1081	674
616	1084	672
617	1085	671
618	1088	670
619	1093	670
620	1096	669
621	1098	667
622	1101	666
623	1104	665
624	1108	664
625	1112	664
626	1115	663
627	1117	661
628	1119	660
629	1121	658
630	1123	657
631	1128	657
632	1131	656
633	1134	655
634	1136	653
635	1138	651
636	1140	649
637	1142	648
638	1144	646
639	1146	644
640	1147	642
641	1149	641
642	1151	639
643	1153	637
644	1155	635
645	1157	634
646	1158	632
647	1160	630
648	1162	628
649	1163	626
650	1165	624
651	1167	622
652	1168	621
653	1170	619
654	1172	617
655	1174	615
656	1175	613
657	1177	611
658	1178	610
659	1180	608
660	1182	606
661	1183	604
662	1187	603
663	1189	601
664	1191	600
665	1193	598
666	1195	596
667	1196	594
668	1198	593
669	1200	591
670	1202	589
671	1204	587
672	1206	586
673	1208	584
674	1210	582
675	1212	581
676	1214	579
677	1216	577
678	1218	575
679	1220	574
680	1222	572
681	1223	570
682	1225	568
683	1227	567
684	1229	565
685	1231	563
686	1232	561
687	1234	559
688	1236	558
689	1238	556
690	1239	554
691	1241	552
692	1243	550
693	1245	549
694	1246	547
695	1249	545
696	1251	543
697	1253	542
698	1255	540
699	1256	538
700	1258	536
701	1260	535
702	1263	533
703	1265	532
704	1267	530
705	1268	528
706	1270	526
707	1272	524
708	1273	522
709	1275	521
710	1277	519
711	1279	517
712	1281	515
713	1283	513
714	1284	512
715	1286	510
716	1287	508
717	1289	506
718	1291	504
719	1292	502
720	1294	500
721	1295	498
722	1297	497
723	1298	495
724	1300	493
725	1301	491
726	1303	489
727	1305	487
728	1306	485
729	1308	483
730	1310	482
731	1311	480
732	1313	478
733	1314	476
734	1316	474
735	1318	472
736	1319	470
737	1321	469
738	1323	467
739	1325	465
740	1327	463
741	1328	462
742	1331	460
743	1333	458
744	1335	456
745	1337	455
746	1339	453
747	1341	451
748	1342	450
749	1345	448
750	1347	446
751	1348	444
752	1351	443
753	1353	441
754	1355	439
755	1357	437
756	1358	436
757	1360	434
758	1362	432
759	1364	430
760	1365	428
761	1367	427
762	1368	425
763	1370	423
764	1372	421
765	1374	419
766	1375	417
767	1377	416
768	1379	414
769	1380	412
770	1382	410
771	1386	409
772	1387	407
773	1389	405
774	1391	404
775	1393	402
776	1395	400
777	1396	398
778	1398	396
779	1400	394
780	1401	393
781	1403	391
782	1405	389
783	1407	387
784	1408	385
785	1410	383
786	1412	382
787	1414	380
788	1415	378
789	1417	376
790	1419	375
791	1420	373
792	1422	371
793	1424	369
794	1426	367
795	1427	365
796	1429	364
797	1431	362
798	1433	360
799	1435	358
800	1436	356
801	1438	355
802	1440	353
803	1442	351
804	1443	349
805	1445	347
806	1446	346
807	1448	344
808	1449	342
809	1451	340
810	1453	338
811	1455	336
812	1457	335
813	1458	333
814	1460	331
815	1461	329
816	1463	327
817	1464	325
818	1467	324
819	1468	322
820	1470	320
821	1473	319
822	1475	317
823	1477	315
824	1478	313
825	1479	311
826	1481	309
827	1483	308
828	1484	306
829	1486	304
830	1488	302
831	1489	300
832	1491	298
833	1492	297
834	1494	295
835	1496	293
836	1498	291
837	1500	290
838	1502	288
839	1504	286
840	1505	284
841	1507	282
842	1508	281
843	1510	279
844	1512	277
845	1513	275
846	1515	273
847	1516	271
848	1518	270
849	1520	268
850	1521	266
851	1523	264
852	1525	262
853	1526	261
854	1528	259
855	1529	257
856	1531	255
857	1533	253
858	1535	252
859	1537	250
860	1539	248
861	1540	246
862	1542	244
863	1543	243
864	1545	241
865	1547	239
866	1549	237
867	1550	235
868	1552	233
869	1553	232
870	1555	230
871	1556	228
872	1558	226
873	1559	224
874	1560	222
875	1561	221
876	1563	219
877	1565	217
878	1566	215
879	1568	213
880	1569	211
881	1570	210
882	1572	208
883	1573	206
884	1574	204
885	1576	202
886	1577	200
887	1578	199
888	1580	197
889	1581	195
890	1582	193
891	1584	191
892	1585	190
893	1587	188
894	1588	186
895	1590	184
896	1591	182
897	1592	180
898	1594	179
899	1595	177
900	1597	175
901	1598	173
902	1599	171
903	1601	170
904	1602	168
905	1603	166
906	1605	164
907	1606	162
908	1608	160
909	1609	159
910	1611	157
911	1612	155
912	1613	153
913	1615	151
914	1616	150
915	1617	148
916	1619	146
917	1620	144
918	1621	142
919	1623	141
920	1625	139
921	1626	137
922	1627	135
923	1628	133
924	1630	132
925	1631	130
926	1632	128
927	1634	126
928	1635	125
929	1637	123
930	1638	121
931	1640	119
932	1641	117
933	1642	116
934	1644	114
935	1645	112
936	1646	110
937	1648	108
938	1649	107
939	1650	105
940	1652	103
941	1653	101
942	1654	100
943	1656	98
944	1657	96
945	1658	94
946	1660	92
947	1661	91
948	1663	89
949	1664	87
950	1666	85
951	1667	84
952	1668	82
953	1670	80
954	1671	78
955	1673	77
956	1674	75
957	1676	73
958	1677	71
959	1678	69
960	1680	68
961	1681	66
962	1683	64
963	1684	62
964	1686	61
965	1687	59
966	1689	57
967	1690	55
968	1692	54
969	1693	52
970	1695	50
971	1696	48
972	1698	47
973	1699	45
974	1701	43
975	1702	41
976	1704	40
977	1705	38
978	1707	36
979	1708	34
980	1710	33
981	1711	31
982	1713	29
983	1715	27
984	1717	26
985	1719	24
986	1721	22
987	1722	20
988	1725	19
989	1726	17
990	1728	15
991	1730	13
992	1733	12
993	1735	10
994	1736	8
995	1738	6
996	1740	5
997	1742	3
998	1743	1
999	1746	0
